Identificatiodepth   NO3     NO2     NH4     Si      PO4
522/1_15           60    23.9    0.20    0.44    12.6    1.58
522/1_13           80    24.1    0.20    0.55    13.1    1.62
522/1_11           90    24.6    0.20    0.91    14.8    1.71
522/1_10           90    24.6    0.21    0.92    14.9    1.70
522/1_09          100    25.3    0.22    1.31    17.2    1.78
522/1_07          120    25.8    0.22    1.39    19.2    1.86
522/1_05          150    27.3    0.23    1.30    23.6    1.99
522/1_03          200    30.3    0.13    0.53    29.3    2.17
522/1_01          250    32.4    0.02    0.18    34.5    2.37
523/1_10           10    24.2    0.21    0.45    12.4    1.67
523/1_9            20    24.2    0.20    0.46    12.4    1.66
523/1_8            40    24.2    0.20    0.45    12.4    1.68
523/1_7            60    24.3    0.21    0.50    12.7    1.71
523/1_6            80    24.3    0.21    0.56    13.0    1.69
523/1_5           100    24.4    0.21    0.75    13.8    1.72
523/1_4           120    25.1    0.21    1.12    16.7    1.82
523/1_3           150    28.2    0.21    1.11    25.4    2.08
523/1_2           200    31.8    0.04    0.21    32.3    2.24
523/1_1           250    33.2    0.02    0.20    38.0    2.34
524/1_10           10    24.4    0.21    0.51    12.6    1.64
524/1_9            20    24.4    0.21    0.46    12.7    1.63
524/1_8            40    24.4    0.20    0.45    12.7    1.62
524/1_7            60    24.4    0.20    0.48    12.9    1.61
524/1_6            80    24.4    0.20    0.51    13.0    1.59
524/1_5           100    24.4    0.20    0.56    13.2    1.60
524/1_4           120    24.7    0.20    0.77    14.0    1.63
524/1_3           150    27.0    0.20    1.08    20.6    1.86
524/1_2           200    31.8    0.03    0.11    30.9    2.13
524/1_1           250    33.6    0.01    0.13    36.7    2.26
525/1_10           10    24.1    0.21    0.73    10.3    1.59
525/1_9            20    24.1    0.21    0.75    10.3    1.61
525/1_8            40    24.1    0.21    0.75    10.4    1.62
525/1_7            60    24.1    0.21    0.77    10.3    1.64
