 DatumUhrzeit                           GeoLaenge             GeoBreite                U_Wind                V_Wind            Temperatur              Taupunkt            Dampfdruck             Luftdruck  GesamtBedeckung 
 17-02-04 09:00:00                           2.20                -49.70                  1.39                 -7.88                  4.60                  3.60                7.9076               1005.50                9 
 17-02-04 12:00:00                           2.20                -49.40                  9.40                 -3.42                  5.20                  4.60                8.4845               1004.80                8 
 17-02-04 15:00:00                           2.20                -49.20                 11.28                 -4.10                  5.90                  5.40                8.9724               1003.90                9 
 17-02-04 18:00:00                           2.20                -49.00                 11.49                 -9.64                  7.00                  6.60                9.7506               1000.60                8 
 17-02-04 21:00:00                           2.20                -48.80                 16.74                 -2.95                  7.50                  7.20               10.1615               1000.00                8 
 18-02-04 00:00:00                           2.30                -48.80                 15.76                 -2.78                  7.50                  7.20               10.1615               1000.60                  
 18-02-04 03:00:00                           2.50                -49.00                 13.00                  0.00                  5.80                  5.50                9.0351                999.60                  
 18-02-04 06:00:00                           2.50                -49.30                  9.40                  3.42                  4.20                  3.80                8.0202               1003.10                9 
 18-02-04 09:00:00                           2.50                -49.60                  6.93                  4.00                  3.80                  3.40                7.7965               1006.20                7 
 18-02-04 12:00:00                           2.50                -50.00                  1.37                  3.76                  4.10                  3.80                8.0202               1008.30                9 
 18-02-04 15:00:00                           2.50                -50.30                 -0.35                  1.97                  3.40                  3.10                7.6324               1009.60                6 
 18-02-04 18:00:00                           2.60                -50.60                 -0.77                  0.64                  3.30                  2.80                7.4714               1009.80                6 
 18-02-04 21:00:00                           2.80                -50.30                 -2.95                  0.52                  3.60                  2.10                7.1072               1011.90                7 
 19-02-04 00:00:00                           2.80                -49.90                 -3.83                 -3.21                  4.00                  3.00                7.5784               1010.90                  
 19-02-04 03:00:00                           2.80                -49.80                 -0.69                 -3.94                  3.50                  3.10                7.6324               1009.70                  
 19-02-04 06:00:00                           2.80                -49.50                 -1.50                 -2.60                  4.10                  3.70                7.9637               1009.20                9 
 19-02-04 09:00:00                           2.80                -49.40                 -0.52                 -2.95                  4.60                  4.20                8.2494               1008.90                7 
 19-02-04 12:00:00                           2.80                -49.10                  1.37                 -3.76                  5.30                  5.00                8.7254               1008.90                9 
 19-02-04 15:00:00                           2.80                -48.80                  5.64                 -2.05                  6.40                  6.10                9.4194               1009.00                9 
 19-02-04 18:00:00                           3.10                -48.90                  4.70                 -1.71                  5.60                  5.30                8.9101               1009.00                9 
 19-02-04 21:00:00                           3.10                -49.40                  3.83                 -3.21                  4.80                  4.50                8.4252               1010.80                9 
 20-02-04 00:00:00                           3.10                -49.80                  1.37                 -3.76                  5.00                  4.70                8.5442               1009.40                  
 20-02-04 03:00:00                           3.10                -50.10                  3.50                 -6.06                  4.70                  4.40                8.3662               1007.60                  
 20-02-04 06:00:00                           3.10                -50.50                  3.50                 -6.06                  4.40                  4.20                8.2494               1005.40                9 
 20-02-04 09:00:00                           3.40                -50.40                  5.79                 -6.89                  4.70                  4.50                8.4252               1003.90                8 
 20-02-04 12:00:00                           3.40                -50.00                  7.79                 -4.50                  4.90                  4.70                8.5442               1003.20                8 
